Ponto de Venda,Data,Origem / mídia da sessão,Campanha da sessão,Sessões,Transações,Receita,Origem Agrupada
Site,25/03/2025,(not set),(not set),18836,10,3654.6799979999996,Outros Canais
Site,09/03/2025,(not set),(not set),18826,3,201.55999500000001,Outros Canais
Site,07/03/2025,(not set),(not set),18776,8,1571.400005,Outros Canais
Site,19/04/2025,(not set),(not set),18772,1,159.21,Outros Canais
Site,13/04/2025,(not set),(not set),18732,9,1397.029994,Outros Canais
Site,15/02/2025,(not set),(not set),18728,8,3506.4299939999996,Outros Canais
Site,08/03/2025,(not set),(not set),18718,9,1709.2199990000001,Outros Canais
Site,03/04/2025,(not set),(not set),18665,9,1663.6400090000002,Outros Canais
Site,06/04/2025,(not set),(not set),18654,6,687.169994,Outros Canais
Site,06/03/2025,(not set),(not set),18637,5,601.5699999999999,Outros Canais
Site,20/03/2025,(not set),(not set),18617,4,720.7000029999999,Outros Canais
Site,22/03/2025,(not set),(not set),18613,6,672.7799980000001,Outros Canais
Site,26/03/2025,(not set),(not set),18609,6,1220.960003,Outros Canais
Site,15/03/2025,(not set),(not set),18557,6,1134.930003,Outros Canais
Site,12/04/2025,(not set),(not set),18451,7,1413.760002,Outros Canais
Site,27/03/2025,(not set),(not set),18406,6,720.1899950000001,Outros Canais
Site,23/03/2025,(not set),(not set),18386,3,345.93999699999995,Outros Canais
Site,02/02/2025,(not set),(not set),18307,36,4602.560015,Outros Canais
Site,09/01/2025,(not set),(not set),18292,57,12565.109999999999,Outros Canais
Site,26/02/2025,(not set),(not set),18151,36,5060.619984,Outros Canais
Site,30/03/2025,(not set),(not set),18143,2,307.879999,Outros Canais
Site,29/03/2025,(not set),(not set),18054,5,1012.2100009999999,Outros Canais
Site,17/07/2025,(not set),(not set),17868,3,164.740004,Outros Canais
Site,10/06/2025,(not set),(not set),17544,20,4750.120009,Outros Canais
Site,19/01/2025,(not set),(not set),17531,6,2135.739994,Outros Canais
Site,04/08/2025,(not set),(not set),16767,1,85.610002,Outros Canais
Site,03/06/2025,(not set),(not set),16476,8,2130.270004,Outros Canais
Site,29/07/2025,(not set),(not set),15531,98,16237.450031,Outros Canais
Site,26/01/2025,(not set),(not set),14667,6,907.5899959999999,Outros Canais
Site,20/08/2025,(not set),(not set),14301,4,314.310003,Outros Canais
Site,28/07/2025,(not set),(not set),13697,0,0.0,Outros Canais
Site,02/01/2026,google / cpc,Performance -Guanabara-App-Engajament,13573,430,69887.999982,Outros Canais
Site,22/02/2025,(not set),(not set),12967,8,2501.509995,Outros Canais
Site,04/01/2026,google / cpc,Performance -Guanabara-App-Engajament,12960,350,47166.39005399999,Outros Canais
Site,06/01/2026,google / cpc,Performance -Guanabara-App-Engajament,11787,322,52128.940007000005,Outros Canais
Site,03/01/2026,google / cpc,Performance -Guanabara-App-Engajament,11659,340,56627.68997800001,Outros Canais
Site,05/01/2026,google / cpc,Performance -Guanabara-App-Engajament,11323,401,59609.52002899999,Outros Canais
Site,15/01/2026,google / cpc,Performance -Guanabara-App-Engajament,10920,356,48219.68002300001,Outros Canais
Site,26/12/2025,google / cpc,Performance -Guanabara-App-Engajament,10863,363,57948.220041000015,Outros Canais
Site,07/01/2026,google / cpc,Performance -Guanabara-App-Engajament,10856,400,65955.60991900001,Outros Canais
Site,12/01/2026,google / cpc,Performance -Guanabara-App-Engajament,10845,379,61790.239979000005,Outros Canais
Site,29/12/2025,google / cpc,Performance -Guanabara-App-Engajament,10762,313,54512.74999999999,Outros Canais
Site,01/01/2026,google / cpc,Performance -Guanabara-App-Engajament,10727,356,52381.62000000001,Outros Canais
Site,08/01/2026,google / cpc,Performance -Guanabara-App-Engajament,10716,399,68975.98000500002,Outros Canais
Site,09/01/2026,google / cpc,Performance -Guanabara-App-Engajament,10589,359,48999.730034,Outros Canais
Site,19/01/2026,google / cpc,Performance -Guanabara-App-Engajament,10499,350,53831.22999500001,Outros Canais
Site,28/12/2025,google / cpc,Performance -Guanabara-App-Engajament,10279,280,39448.58002499999,Outros Canais
Site,21/01/2026,google / cpc,Performance -Guanabara-App-Engajament,10081,415,60448.50999499999,Outros Canais
Site,18/01/2025,(not set),(not set),10053,10,3243.350003,Outros Canais
Site,14/01/2026,google / cpc,Performance -Guanabara-App-Engajament,10031,419,69780.89252000001,Outros Canais
Site,13/01/2026,google / cpc,Performance -Guanabara-App-Engajament,10022,346,56471.080030000005,Outros Canais
Site,16/01/2026,google / cpc,Performance -Guanabara-App-Engajament,10011,371,55717.460033,Outros Canais
Site,06/04/2026,google / cpc,Performance -Guanabara-App-Engajament,9923,446,65431.253345000005,Outros Canais
Site,23/02/2025,(not set),(not set),9823,5,1271.1700059999998,Outros Canais
Site,30/12/2025,google / cpc,Performance -Guanabara-App-Engajament,9820,296,43058.266722,Outros Canais
Site,01/04/2026,google / cpc,Performance -Guanabara-App-Engajament,9658,488,59014.060087000005,Outros Canais
Site,20/01/2026,google / cpc,Performance -Guanabara-App-Engajament,9635,406,62976.929946,Outros Canais
Site,28/01/2025,(not set),(not set),9569,22,5422.760001999999,Outros Canais
Site,23/01/2026,google / cpc,Performance -Guanabara-App-Engajament,9547,398,55474.840018999996,Outros Canais
Site,27/12/2025,google / cpc,Performance -Guanabara-App-Engajament,9525,318,54473.58996899999,Outros Canais
Site,31/03/2026,google / cpc,Performance -Guanabara-App-Engajament,9429,529,64782.369927,Outros Canais
Site,19/12/2025,google / cpc,Performance -Guanabara-App-Engajament,9422,363,58393.52996999998,Outros Canais
Site,25/12/2025,google / cpc,Performance -Guanabara-App-Engajament,9376,305,46078.91001099999,Outros Canais
Site,20/12/2025,google / cpc,Performance -Guanabara-App-Engajament,9227,330,47790.479966000006,Outros Canais
Site,07/04/2026,google / cpc,Performance -Guanabara-App-Engajament,9225,456,64512.43004099999,Outros Canais
Site,30/03/2026,google / cpc,Performance -Guanabara-App-Engajament,9210,471,63207.49995100002,Outros Canais
Site,11/01/2026,google / cpc,Performance -Guanabara-App-Engajament,9206,338,49576.85998900001,Outros Canais
Site,09/04/2026,google / cpc,Performance -Guanabara-App-Engajament,9176,498,64116.549886,Outros Canais
Site,22/01/2026,google / cpc,Performance -Guanabara-App-Engajament,9084,342,51971.54999999999,Outros Canais
Site,10/01/2026,google / cpc,Performance -Guanabara-App-Engajament,9070,335,51713.190066999996,Outros Canais
Site,02/04/2026,google / cpc,Performance -Guanabara-App-Engajament,9067,457,60531.379963,Outros Canais
